"","IBNR","CL","ODP","EV","DP"
"1",7789,7592.5,7583.61008542276,7562.53203880648,7895.48335435451
"2",8327,8441.5,8442.52803469518,8409.72190477078,9244.41551749831
"3",8048,7922.5,7952.31923219008,7909.88158921846,8204.65555775373
"4",8143,7689.5,7675.27737938716,7663.59964184036,7832.52492830792
"5",9523,7548.5,7521.03278585837,7504.33338529182,7828.86648043398
"6",8319,8219,8207.16411829618,8154.19854936753,8471.86394323634
"7",8616,8308.5,8295.00391120861,8254.40486888764,8653.73200760264
"8",8677,7961.5,7931.32337269254,7935.13555340577,8439.59352097882
"9",7973,8234.5,8198.30561216484,8180.5285604972,8556.53708883431
"10",9015,8606,8594.08908662122,8576.39922986107,9067.57885475492
"11",7521,7216.5,7172.39621942249,7178.92241749433,7489.81738529209
"12",7899,7448.5,7420.72786399726,7431.99724758659,7574.60062001264
"13",7207,7681,7658.50041205771,7634.8201094822,7819.86553485232
"14",9310,7906.5,7868.39138617426,7851.59179798464,8649.66395653989
"15",6763,7051.5,7028.31756342554,7025.97216697048,7285.55757151641
"16",8668,8147,8147.20925992282,8109.97800990452,8716.42103608577
"17",9253,8748.5,8723.28562774348,8690.1979962201,8944.3669916403
"18",7785,8772,8708.80907768989,8663.58547950868,8999.94617137403
"19",7396,7655,7634.50979757609,7614.07139571502,8415.52906023503
"20",9422,8457,8429.93854631302,8449.05064854513,8594.6214831825
"21",7963,7632.5,7592.66782220661,7574.252312833,7929.15397791082
"22",8047,7111.5,7083.24761199488,7079.57432655285,7663.89958222198
"23",8132,8466.5,8402.5140134761,8381.13189388318,8780.19359325926
"24",7462,7085,7117.67246593744,7106.58970488705,7327.73375770201
"25",8690,8544.5,8559.75992496267,8554.07371222085,8575.99696606641
"26",8538,7529,7515.87361332872,7498.33059213087,7863.51555207893
"27",8899,7685,7603.09429697631,7580.77004469753,8400.27759008719
"28",7040,7105.5,7063.53184087145,7047.1024937051,7328.03205412301
